Category: All categories

Week,vaccine: (New Zealand)
2021-01-03,6
2021-01-10,6
2021-01-17,8
2021-01-24,7
2021-01-31,8
2021-02-07,8
2021-02-14,16
2021-02-21,12
2021-02-28,11
2021-03-07,15
2021-03-14,11
2021-03-21,16
2021-03-28,10
2021-04-04,12
2021-04-11,17
2021-04-18,15
2021-04-25,14
2021-05-02,16
2021-05-09,17
2021-05-16,17
2021-05-23,16
2021-05-30,12
2021-06-06,14
2021-06-13,17
2021-06-20,18
2021-06-27,19
2021-07-04,19
2021-07-11,18
2021-07-18,19
2021-07-25,28
2021-08-01,28
2021-08-08,36
2021-08-15,69
2021-08-22,98
2021-08-29,70
2021-09-05,48
2021-09-12,54
2021-09-19,44
2021-09-26,36
2021-10-03,55
2021-10-10,53
2021-10-17,44
2021-10-24,39
2021-10-31,32
2021-11-07,34
2021-11-14,84
2021-11-21,81
2021-11-28,100
2021-12-05,46
