Financial Year,Month,Local Board,Location Name,_Sum of Checkouts Actual
FY18,Jul,Upper Harbour,Albany Village,22843
FY18,Jul,Other,Art Gallery,16
FY18,Jul,Whau,Avondale,9908
FY18,Jul,Kaipatiki,Birkenhead,25280
FY18,Jul,Whau,Blockhouse Bay,21261
FY18,Jul,Howick,Botany,33068
FY18,Jul,Waitemata,Central City,33528
FY18,Jul,Manurewa,Clendon,4734
FY18,Jul,Other,Content and Access,18
FY18,Jul,Other,Corporate,49
FY18,Jul,Other,Debt,0
FY18,Jul,Devonport - Takapuna,Devonport,22318
FY18,Jul,Other,Digital Library,0
FY18,Jul,Hibiscus and Bays,East Coast Bays,55628
FY18,Jul,Albert - Eden,Epsom,27785
FY18,Jul,Other,Events Library,16
FY18,Jul,Waitakere Ranges,Glen Eden,20825
FY18,Jul,Maungakiekie-Tamaki,Glen Innes,7697
FY18,Jul,Kaipatiki,Glenfield,33282
FY18,Jul,Great Barrier,Great Barrier,1121
FY18,Jul,Waitemata,Grey Lynn,12861
FY18,Jul,Rodney,Helensville,6308
FY18,Jul,Henderson - Massey,Henderson,25631
FY18,Jul,Howick,Highland Park,34505
FY18,Jul,Howick,Howick,31689
FY18,Jul,Rodney,Kumeu,14190
FY18,Jul,Waitemata,Leys Institute,11706
FY18,Jul,Waitemata,Leys Institute Little,0
FY18,Jul,Other,Library Connect,179
FY18,Jul,Rodney,Mahurangi East,7381
FY18,Jul,Mangere-Otahuhu,Mangere Bridge,9775
FY18,Jul,Mangere-Otahuhu,Mangere East,3947
FY18,Jul,Mangere-Otahuhu,Mangere Town Centre,4301
FY18,Jul,Otara-Papatoetoe,Manukau,10004
FY18,Jul,Manurewa,Manurewa,17901
FY18,Jul,Henderson - Massey,Massey,31690
FY18,Jul,Mobile Libraries,Mobile Central,983
FY18,Jul,Mobile Libraries,Mobile North,1294
FY18,Jul,Mobile Libraries,Mobile South & East,3608
FY18,Jul,Mobile Libraries,Mobile West & Central,1743
FY18,Jul,Albert - Eden,Mt Albert,36831
FY18,Jul,Puketapapa,Mt Roskill,38768
FY18,Jul,Whau,New Lynn,24255
FY18,Jul,Kaipatiki,Northcote,13585
FY18,Jul,Maungakiekie-Tamaki,Onehunga,15199
FY18,Jul,Other,Online Renewals,0
FY18,Jul,Hibiscus and Bays,Orewa,34014
FY18,Jul,Mangere-Otahuhu,Otahuhu,5805
FY18,Jul,Otara-Papatoetoe,Otara,2101
FY18,Jul,Other,Other,165
FY18,Jul,Howick,Pakuranga,25843
FY18,Jul,Maungakiekie-Tamaki,Panmure,14522
FY18,Jul,Papakura,Papakura,25739
FY18,Jul,Otara-Papatoetoe,Papatoetoe,12629
FY18,Jul,Waitemata,Parnell,11907
FY18,Jul,Albert - Eden,Pt Chevalier,15351
FY18,Jul,Franklin,Pukekohe,28901
FY18,Jul,Henderson - Massey,Ranui,10677
FY18,Jul,Orakei,Remuera,33895
FY18,Jul,Orakei,St Heliers,37827
FY18,Jul,Devonport - Takapuna,Takapuna,39865
FY18,Jul,Henderson - Massey,Te Atatu Peninsula,16254
FY18,Jul,Henderson - Massey,Te Manawa,0
FY18,Jul,Waitakere Ranges,Titirangi,17698
FY18,Jul,Otara-Papatoetoe,Tupu,1549
FY18,Jul,Waiheke,Waiheke,13011
FY18,Jul,Franklin,Waiuku,10470
FY18,Jul,Rodney,Warkworth,14258
FY18,Jul,Rodney,Wellsford,6327
FY18,Jul,Hibiscus and Bays,Whangaparaoa,24498
FY18,Aug,Upper Harbour,Albany Village,21053
FY18,Aug,Other,Art Gallery,45
FY18,Aug,Whau,Avondale,8680
FY18,Aug,Kaipatiki,Birkenhead,23355
FY18,Aug,Whau,Blockhouse Bay,21159
FY18,Aug,Howick,Botany,28426
FY18,Aug,Waitemata,Central City,23725
FY18,Aug,Manurewa,Clendon,4284
FY18,Aug,Other,Content and Access,23
FY18,Aug,Other,Corporate,65
FY18,Aug,Other,Debt,76
FY18,Aug,Devonport - Takapuna,Devonport,20417
FY18,Aug,Other,Digital Library,0
FY18,Aug,Hibiscus and Bays,East Coast Bays,50391
FY18,Aug,Albert - Eden,Epsom,25999
FY18,Aug,Other,Events Library,24
FY18,Aug,Waitakere Ranges,Glen Eden,25305
FY18,Aug,Maungakiekie-Tamaki,Glen Innes,7522
FY18,Aug,Kaipatiki,Glenfield,29792
FY18,Aug,Great Barrier,Great Barrier,1013
FY18,Aug,Waitemata,Grey Lynn,13115
FY18,Aug,Rodney,Helensville,5934
FY18,Aug,Henderson - Massey,Henderson,23112
FY18,Aug,Howick,Highland Park,31056
FY18,Aug,Howick,Howick,29642
FY18,Aug,Rodney,Kumeu,12879
FY18,Aug,Waitemata,Leys Institute,12196
FY18,Aug,Waitemata,Leys Institute Little,0
FY18,Aug,Other,Library Connect,132
FY18,Aug,Rodney,Mahurangi East,7063
FY18,Aug,Mangere-Otahuhu,Mangere Bridge,9059
FY18,Aug,Mangere-Otahuhu,Mangere East,3029
FY18,Aug,Mangere-Otahuhu,Mangere Town Centre,3392
FY18,Aug,Otara-Papatoetoe,Manukau,9121
FY18,Aug,Manurewa,Manurewa,17137
FY18,Aug,Henderson - Massey,Massey,30362
