"Date", "Legal under any", 	"Legal under most", 	"Legal only in a few", 	"Illegal in all", 	"No opinion"
"2022 May 2-22", 	35, 	18, 	32, 	13, 	2
"2021 May 3-18", 	32, 	13, 	33, 	19, 	3
"2020 May 1-13", 	29, 	14, 	35, 	20, 	3
"2019 May 1-12", 	25, 	13, 	39, 	21, 	3
"2018 May 1-10", 	29, 	14, 	35, 	18, 	3
"2017 May 3-7", 	29, 	13, 	36, 	18, 	4
"2016 May 4-8", 	29, 	12, 	37, 	19, 	3
"2015 May 6-10", 	29, 	13, 	36, 	19, 	2
"2014 May 8-11", 	28, 	11, 	37,	21, 	3
"2013 May 2-7", 	26, 	13, 	38, 	20, 	3
"2012 Dec 27-30", 	28, 	13, 	38, 	18, 	4
"2012 May 3-6", 	25, 	13, 	39, 	20, 	4
"2011 Jul 15-17", 	26, 	13, 	38, 	20, 	4
"2011 Jun 9-12", 	26, 	12, 	38, 	21, 	2
"2011 May 5-8", 	27, 	10, 	39, 	22, 	3
"2010 May 3-6", 	24, 	15, 	37, 	19, 	5
"2009 Jul 17-19", 	21, 	13, 	42, 	18, 	6
"2009 May 7-10", 	22, 	15, 	37, 	23, 	3
"2008 May 8-11", 	28, 	13, 	40, 	17, 	3
"2007 May 10-13", 	26, 	15, 	40, 	18, 	1
"2006 May 8-11", 	30, 	13, 	39, 	15, 	3
"2005 Nov 11-13", 	26, 	16, 	39, 	16, 	3
"2005 Jun 24-26", 	24, 	15, 	40, 	20, 	1
"2005 May 2-5", 	23, 	12, 	40, 	22, 	3
"2005 Mar 21-23", 	23, 	14, 	39, 	20, 	4
"2004 May 2-4", 	24, 	13, 	42, 	19, 	2
"2003 Oct 24-26", 	26, 	14, 	40, 	17, 	3
"2003 May 5-7", 	23, 	15, 	42, 	19, 	1
"2003 Jan 10-12", 	24, 	14, 	42, 	18, 	2
"2002 May 6-9", 	25, 	12, 	39, 	22, 	2
"2002 Mar 22-24", 	27, 	12, 	40, 	19, 	2
"2001 Aug 10-12", 	26, 	12, 	43, 	17, 	2
"2001 May 10-14", 	26, 	15, 	41, 	15, 	3
"2001 Mar 26-28", 	26, 	13, 	38, 	18, 	5
"2000 Mar 30-Apr 2", 	28, 	11, 	38, 	19, 	4
"2000 Jan 13-16", 	26, 	17, 	39, 	15, 	3
"1999 Apr 30-May 2", 	27, 	12, 	42,	16, 	3
"1998 Jan 16-18", 	23, 	16, 	42, 	17, 	2
"1997 Nov 6-9", 	26, 	15, 	40, 	17, 	2
"1997 Aug 12-13", 	22, 	12, 	48, 	15, 	3
"1996 Jul 25-28", 	25, 	13, 	43, 	15, 	4
"1995 Sep 22-24", 	31, 	14, 	39, 	12, 	4
"1995 Feb 24-26", 	32, 	9, 	41, 	15, 	3
"1994 Sep 6-7", 	33, 	13, 	38, 	13, 	3
