Hub/Library/Venue name,Local board,Current Service Level,Estimated re-open date,Reason for service level change,Comment on reason for service level change,Person reporting change,Other services affected,People Notified?,People Leader,Lead and Coach,Head of CDU,Modified,Send Notification Email?,lat,long
"Oranga Community Centre","Maungakiekie-Tāmaki","Reduced Service","2/05/2022","Insufficient staff for safe operation","Staff isolating or on leave and major road works on the Furgusson Domain drive way to Oranga Community centre closed from 7:30am - 6pm Friday 29 April and 30 April. Hirers have been notified that staff will not be onsite on Friday from 8:30am - 5pm. ","Jenni Heka 0211049287 ","Wifi , Hire bookings still operating. ","Yes","Jenni Heka","Monique Nathu","Kevin Marriott","28/04/2022 11:12 AM","No","-36.91108847608996","174.7995400847053"
"Research North","Research Centre","Reduced Service","2/05/2022","Insufficient staff for safe operation","Only one member of staff available Friday PM","Philippa Templeton 0212059750","Virtual enquiries and document retrieval","Yes","Erica O'Flaherty","Stacey Smith","Catherine Leonard","29/04/2022 8:13 AM","No","-36.788738083631664","174.77374105586696"
"Epsom Library","​Albert Eden","Open",,,,,,,"Yana Nasruddin","Stephen Johnson","Kevin Marriott","30/03/2022 11:09 AM","No","-36.88165028","174.77554"
"Mt Albert Library","​Albert Eden","Open",,,,,,,"Kala Bhana","Stephen Johnson","Kevin Marriott","30/03/2022 11:10 AM",,"-36.88378884996656","174.73524710373795"
"Point Chevalier Library","​Albert Eden","Open",,,,,,,"Tania Shields","Stephen Johnson","Kevin Marriott","30/03/2022 11:10 AM","No","-36.87025449","174.7102223"
"Point Chevalier Community Centre","​Albert Eden","Open",,,,,,,"Stephen Johnson","Stephen Johnson","Kevin Marriott","30/03/2022 11:11 AM",,"-36.86887586801559","174.71043707120978"
"Sandringham Community Centre","​Albert Eden","Open",,,,,,,"Stephen Johnson","Stephen Johnson","Kevin Marriott","30/03/2022 11:11 AM",,"-36.89166078107894","174.73539187121034"
"Mt Roskill Library","​​Puketāpapa","Open",,,,,,,"Helen Kerrigan","Stephen Johnson","Kevin Marriott","30/03/2022 11:11 AM",,"-36.90822004986468","174.7566077540237"
"Wesley Community Centre","​​Puketāpapa","Open",,,,,,,"Stephen Johnson","Stephen Johnson","Kevin Marriott","30/03/2022 3:02 PM",,"-36.90077223111363","174.73119735586985"
"Roskill Youth Zone","​​Puketāpapa","Open",,,,,,,"Stephen Johnson","Stephen Johnson","Kevin Marriott","30/03/2022 3:02 PM",,"-36.90084621090305","174.73116608285875"
"Waiheke Library","Waiheke","Open",,,,,,,"Fiona Kralicek","Stephen Johnson","Kevin Marriott","30/03/2022 3:02 PM","No","-36.781202126667615","175.00723649819642"
"Great Barrier Library","​Aotea/Great Barrier","Open",,,,,,,"Lenka Wright",,,"5/04/2022 4:00 PM",,"-36.243403968956585","175.46761619818253"
"Glen Innes Library","Maungakiekie-Tāmaki","Open",,,,,,,"Kristine Strathern","Monique Nathu","Kevin Marriott","30/03/2022 3:03 PM","No","-36.87889841864348","174.85655052518774"
"Onehunga HUB - Library & Community Centre","Maungakiekie-Tāmaki","Open",,,,,,,"Jenni Heka","Monique Nathu","Kevin Marriott","24/04/2022 12:06 PM","No","-36.92333859963152","174.78435530984814"
"Panmure Library","Maungakiekie-Tāmaki","Open",,,,,,,"Katie Wang","Monique Nathu","Kevin Marriott","31/03/2022 10:17 AM","No","-36.89857294372488","174.854392940529"
"Riverside (Taha Awa) Community Centre","Maungakiekie-Tāmaki","Open",,,,,,,,"Monique Nathu","Kevin Marriott","4/04/2022 8:48 AM","No","-36.92606307","174.8570837"
"Te Oro Music and Arts Centre","Maungakiekie-Tāmaki","Open",,,,,,,"Clinton Hewett","Monique Nathu","Kevin Marriott","31/03/2022 10:17 AM","No","-36.878520507027154","174.85680792703408"
"Botany Library","​Howick","Open",,,,,,,"Imraan Ali","Monique Nathu","Kevin Marriott","31/03/2022 10:18 AM",,"-36.934351436273126","174.91332105587068"
"Highland Park Library","​Howick","Open",,,,,,,"Michelle Appleton","Monique Nathu","Kevin Marriott","31/03/2022 10:18 AM",,"-36.89962769006028","174.90814635402344"
"Howick Library","​Howick","Open",,,,,,,"Stephanie McKenzie","Monique Nathu","Kevin Marriott","31/03/2022 10:18 AM",,"-36.8941236535248","174.9333981405288"
"Pakuranga Library","​Howick","Open",,,,,,,"Allan Picking","Monique Nathu","Kevin Marriott","20/04/2022 9:26 AM","No","-36.91301934649068","174.8728425558701"
