WKT,TALB_ID,TALB_Acronym,TALB2013_V1_00,TALB2013_V1_00_NAME,Shape_Length
"MULTIPOLYGON (((1242537.7347002 4853284.31850004,1220603.16790009 4815292.53410006,1176734.03410006 4815292.53410006,1154799.46710014 4853284.31850004,1176734.03410006 4891276.10270023,1220603.16790009 4891276.10270023,1242537.7347002 4853284.31850004)))",7400,GO,07400,Gore District,263214.802756
"MULTIPOLYGON (((1308341.43529987 4890614.64300013,1286406.86850023 4852622.85879993,1242537.7347002 4852622.85879993,1220603.16790009 4890614.64300013,1242537.7347002 4928606.42740011,1286406.86850023 4928606.42740011,1308341.43529987 4890614.64300013)))",7100,DU,07100,Dunedin City,263214.802556
"MULTIPOLYGON (((1242537.7347002 4929267.88710022,1220603.16790009 4891276.10270023,1176734.03410006 4891276.10270023,1154799.46710014 4929267.88710022,1176734.03410006 4967259.67129993,1220603.16790009 4967259.67129993,1242537.7347002 4929267.88710022)))",6900,CO,06900,Central Otago District,263214.802756
"MULTIPOLYGON (((1308341.43529987 4967259.67129993,1286406.86850023 4929267.88710022,1242537.7347002 4929267.88710022,1220603.16790009 4967259.67129993,1242537.7347002 5005251.45569992,1286406.86850023 5005251.45569992,1308341.43529987 4967259.67129993)))",6500,MK,06500,Mackenzie District,263214.802556
"MULTIPOLYGON (((1374145.13590002 4929267.88710022,1352210.5690999 4891276.10270023,1308341.43529987 4891276.10270023,1286406.86850023 4929267.88710022,1308341.43529987 4967259.67129993,1352210.5690999 4967259.67129993,1374145.13590002 4929267.88710022)))",6800,WT,06800,Waitaki District,263214.802556
"MULTIPOLYGON (((1374145.13590002 5004589.99599981,1352210.5690999 4966598.21159983,1308341.43529987 4966598.21159983,1286406.86850023 5004589.99599981,1308341.43529987 5042581.7802,1352210.5690999 5042581.7802,1374145.13590002 5004589.99599981)))",6600,WM,06600,Waimate District,263214.802556
"MULTIPOLYGON (((1439948.83669996 5043243.23990011,1418014.26970005 5005251.45569992,1374145.13590002 5005251.45569992,1352210.5690999 5043243.23990011,1374145.13590002 5081235.02409983,1418014.26970005 5081235.02409983,1439948.83669996 5043243.23990011)))",6400,TI,06400,Timaru District,263214.802409
"MULTIPOLYGON (((1374145.13590002 5081235.02409983,1352210.5690999 5043243.23990011,1308341.43529987 5043243.23990011,1286406.86850023 5081235.02409983,1308341.43529987 5119226.80849981,1352210.5690999 5119226.80849981,1374145.13590002 5081235.02409983)))",5700,WS,05700,Westland District,263214.802556
"MULTIPOLYGON (((1439948.83669996 5119226.80849981,1418014.26970005 5081235.02409983,1374145.13590002 5081235.02409983,1352210.5690999 5119226.80849981,1374145.13590002 5157218.5927,1418014.26970005 5157218.5927,1439948.83669996 5119226.80849981)))",5600,GR,05600,Grey District,263214.802756
"MULTIPOLYGON (((1505752.53730011 5081235.02409983,1483817.97049999 5043243.23990011,1439948.83669996 5043243.23990011,1418014.26970005 5081235.02409983,1439948.83669996 5119226.80849981,1483817.97049999 5119226.80849981,1505752.53730011 5081235.02409983)))",6300,AS,06300,Ashburton District,263214.802756
"MULTIPOLYGON (((2427004.34630013 5081235.02409983,2405069.77950001 5043243.23990011,2361200.64569998 5043243.23990011,2339266.07889986 5081235.02409983,2361200.64569998 5119226.80849981,2405069.77950001 5119226.80849981,2427004.34630013 5081235.02409983)))",6700,CI,06700,Chatham Islands Territory,263214.802556
"MULTIPOLYGON (((1505752.53730011 5157218.5927,1483817.97049999 5119226.80849981,1439948.83669996 5119226.80849981,1418014.26970005 5157218.5927,1439948.83669996 5195210.37709999,1483817.97049999 5195210.37709999,1505752.53730011 5157218.5927)))",5900,WK,05900,Waimakariri District,263214.802756
"MULTIPOLYGON (((1176734.03410006 4815292.53410006,1154799.46710014 4777300.74989986,1110930.33349991 4777300.74989986,1088995.7665 4815292.53410006,1110930.33349991 4853284.31850004,1154799.46710014 4853284.31850004,1176734.03410006 4815292.53410006)))",7500,IN,07500,Invercargill City,263214.802556
