"Date","Nationality","Count"
2008-07-31,"(not recorded)",33
2008-07-31,"Afghanistan",1188
2008-07-31,"Albania",33
2008-07-31,"Algeria",39
2008-07-31,"American Samoa",60
2008-07-31,"Angola",0
2008-07-31,"Argentina",1311
2008-07-31,"Armenia",12
2008-07-31,"Australia",69
2008-07-31,"Austria",384
2008-07-31,"Azerbaijan",18
2008-07-31,"Bahamas",3
2008-07-31,"Bahrain",84
2008-07-31,"Bangladesh",510
2008-07-31,"Barbados",12
2008-07-31,"Belarus",57
2008-07-31,"Belgium",348
2008-07-31,"Belize",9
2008-07-31,"Bermuda",3
2008-07-31,"Bhutan",108
2008-07-31,"Bolivia",60
2008-07-31,"Bosnia & Herzegovina",27
2008-07-31,"Botswana",27
2008-07-31,"Brazil",3696
2008-07-31,"British Indian Ocean Territory",0
2008-07-31,"Brunei Darussalam",81
2008-07-31,"Bulgaria",309
2008-07-31,"Burundi",105
2008-07-31,"Cambodia",1356
2008-07-31,"Cameroon",9
2008-07-31,"Canada",3375
2008-07-31,"Cayman Islands",0
2008-07-31,"Chad",0
2008-07-31,"Chile",1884
2008-07-31,"China",44673
2008-07-31,"Colombia",438
2008-07-31,"Congo",102
2008-07-31,"Costa Rica",33
2008-07-31,"Croatia",84
2008-07-31,"Cuba",18
2008-07-31,"Cyprus",9
2008-07-31,"Czech Republic",954
2008-07-31,"Democratic Republic of Congo",69
2008-07-31,"Denmark",444
2008-07-31,"Djibouti",36
2008-07-31,"Dominica",3
2008-07-31,"Dominican Republic",3
2008-07-31,"East Timor",3
2008-07-31,"Ecuador",33
2008-07-31,"Egypt",327
2008-07-31,"El Salvador",12
2008-07-31,"Eritrea",204
2008-07-31,"Estonia",42
2008-07-31,"Ethiopia",411
2008-07-31,"Federated States of Micronesia",6
2008-07-31,"Fiji",20118
2008-07-31,"Finland",240
2008-07-31,"France",2814
2008-07-31,"French Polynesia",6
2008-07-31,"Gabon",3
2008-07-31,"Gambia",9
2008-07-31,"Georgia",27
2008-07-31,"Germany",7380
2008-07-31,"Ghana",111
2008-07-31,"Gibraltar",0
2008-07-31,"Great Britain",67527
2008-07-31,"Greece",48
2008-07-31,"Grenada",0
2008-07-31,"Guatemala",15
2008-07-31,"Guinea",3
2008-07-31,"Guyana",12
2008-07-31,"Honduras",9
2008-07-31,"Hong Kong",1626
2008-07-31,"Hungary",618
2008-07-31,"Iceland",39
2008-07-31,"India",25062
2008-07-31,"Indonesia",2256
2008-07-31,"Iran",1023
2008-07-31,"Iraq",945
2008-07-31,"Ireland",3060
2008-07-31,"Israel",525
2008-07-31,"Italy",855
2008-07-31,"Ivory Coast",3
2008-07-31,"Jamaica",24
2008-07-31,"Japan",8181
2008-07-31,"Jordan",192
2008-07-31,"Kazakhstan",108
2008-07-31,"Kenya",228
2008-07-31,"Kiribati",876
2008-07-31,"Kosovo - Republic of",3
2008-07-31,"Kosovo - UN Mission in",6
2008-07-31,"Kuwait",9
2008-07-31,"Kyrgyzstan",27
2008-07-31,"Laos",81
2008-07-31,"Latvia",69
2008-07-31,"Lebanon",84
2008-07-31,"Lesotho",0
2008-07-31,"Liberia",6
2008-07-31,"Libya",12
2008-07-31,"Liechtenstein",3
2008-07-31,"Lithuania",63
2008-07-31,"Luxembourg",9
2008-07-31,"Macau",39
2008-07-31,"Macedonia",258
2008-07-31,"Madagascar",6
2008-07-31,"Malawi",45
2008-07-31,"Malaysia",7308
2008-07-31,"Maldives",93
2008-07-31,"Mali",0
2008-07-31,"Malta",48
2008-07-31,"Marshall Islands",6
2008-07-31,"Mauritania",9
2008-07-31,"Mauritius",243
2008-07-31,"Mexico",282
2008-07-31,"Moldova",30
2008-07-31,"Mongolia",42
2008-07-31,"Morocco",39
2008-07-31,"Mozambique",9
2008-07-31,"Myanmar",990
2008-07-31,"Namibia",57
2008-07-31,"Nauru",36
2008-07-31,"Nepal",477
2008-07-31,"Netherlands",3333
2008-07-31,"New Caledonia",3
2008-07-31,"New Zealand",3933
2008-07-31,"Nicaragua",0
2008-07-31,"Nigeria",258
2008-07-31,"North Korea",3
2008-07-31,"Norway",216
2008-07-31,"Oman",198
2008-07-31,"Pakistan",1095
2008-07-31,"Palau",3
2008-07-31,"Palestine",57
2008-07-31,"Panama",9
2008-07-31,"Papua New Guinea",246
2008-07-31,"Paraguay",27
2008-07-31,"Peru",234
2008-07-31,"Philippines",15477
2008-07-31,"Poland",480
2008-07-31,"Portugal",126
2008-07-31,"Romania",1143
2008-07-31,"Russia",2055
2008-07-31,"Rwanda",39
2008-07-31,"Samoa",12612
2008-07-31,"Saudi Arabia",1173
2008-07-31,"Senegal",3
2008-07-31,"Serbia",42
2008-07-31,"Serbia & Montenegro",6
2008-07-31,"Seychelles",39
2008-07-31,"Sierra Leone",12
2008-07-31,"Singapore",1173
2008-07-31,"Slovakia",177
2008-07-31,"Slovenia",69
2008-07-31,"Solomon Islands",288
2008-07-31,"Somalia",342
2008-07-31,"South Africa",22893
2008-07-31,"South Korea",18969
2008-07-31,"South Sudan",0
2008-07-31,"Soviet Union",6
2008-07-31,"Spain",273
2008-07-31,"Sri Lanka",2445
2008-07-31,"St Kitts - Nevis",0
2008-07-31,"St Lucia",9
2008-07-31,"St Vincent and the Grenadines",6
2008-07-31,"Stateless",33
2008-07-31,"Sudan",273
2008-07-31,"Suriname",0
2008-07-31,"Swaziland",6
2008-07-31,"Sweden",711
2008-07-31,"Switzerland",663
2008-07-31,"Syria",102
2008-07-31,"Taiwan",2262
2008-07-31,"Tajikistan",9
2008-07-31,"Tanzania",42
2008-07-31,"Thailand",5016
2008-07-31,"Timor Leste",18
2008-07-31,"Togo",6
2008-07-31,"Tonga",8349
2008-07-31,"Trinidad and Tobago",36
2008-07-31,"Tunisia",6
2008-07-31,"Turkey",348
2008-07-31,"Turkmenistan",3
2008-07-31,"Tuvalu",1002
2008-07-31,"Uganda",36
2008-07-31,"Ukraine",933
2008-07-31,"United Arab Emirates",36
2008-07-31,"United Nations",0
2008-07-31,"United States of America",9576
2008-07-31,"Unknown",12
2008-07-31,"Uruguay",459
2008-07-31,"Uzbekistan",66
2008-07-31,"Vanuatu",1041
2008-07-31,"Vatican City",0
2008-07-31,"Venezuela",72
2008-07-31,"Vietnam",2034
2008-07-31,"Yemen",27
2008-07-31,"Yugoslavia",183
2008-07-31,"Zambia",219
2008-07-31,"Zimbabwe",3987
2008-08-31,"(not recorded)",33
2008-08-31,"Afghanistan",1191
2008-08-31,"Albania",39
2008-08-31,"Algeria",39
2008-08-31,"American Samoa",57
2008-08-31,"Angola",3
2008-08-31,"Antigua & Barbuda",3
2008-08-31,"Argentina",1293
2008-08-31,"Armenia",9
2008-08-31,"Australia",69
2008-08-31,"Austria",402
2008-08-31,"Azerbaijan",18
2008-08-31,"Bahamas",0
2008-08-31,"Bahrain",87
2008-08-31,"Bangladesh",495
2008-08-31,"Barbados",9
2008-08-31,"Belarus",60
2008-08-31,"Belgium",348
2008-08-31,"Belize",6
2008-08-31,"Bermuda",0
2008-08-31,"Bhutan",108
2008-08-31,"Bolivia",54
2008-08-31,"Bosnia & Herzegovina",27
2008-08-31,"Botswana",27
2008-08-31,"Brazil",3669
2008-08-31,"British Indian Ocean Territory",0
2008-08-31,"Brunei Darussalam",81
2008-08-31,"Bulgaria",303
2008-08-31,"Burma",3
2008-08-31,"Burundi",102
2008-08-31,"Cambodia",1374
2008-08-31,"Cameroon",9
2008-08-31,"Canada",3399
2008-08-31,"Chile",1860
2008-08-31,"China",44217
2008-08-31,"Colombia",426
2008-08-31,"Congo",102
2008-08-31,"Costa Rica",39
2008-08-31,"Croatia",84
2008-08-31,"Cuba",21
2008-08-31,"Cyprus",9
2008-08-31,"Czech Republic",936
2008-08-31,"Democratic Republic of Congo",69
2008-08-31,"Denmark",480
2008-08-31,"Djibouti",36
2008-08-31,"Dominica",3
2008-08-31,"Dominican Republic",3
2008-08-31,"East Timor",3
2008-08-31,"Ecuador",36
2008-08-31,"Egypt",306
2008-08-31,"El Salvador",15
2008-08-31,"Eritrea",189
2008-08-31,"Estonia",39
2008-08-31,"Ethiopia",399
2008-08-31,"Federated States of Micronesia",6
2008-08-31,"Fiji",20367
2008-08-31,"Finland",258
2008-08-31,"France",2697
2008-08-31,"French Polynesia",6
2008-08-31,"Gabon",3
2008-08-31,"Gambia",6
2008-08-31,"Georgia",27
2008-08-31,"Germany",7704
2008-08-31,"Ghana",108
2008-08-31,"Gibraltar",3
2008-08-31,"Great Britain",68115
2008-08-31,"Greece",48
2008-08-31,"Grenada",0
2008-08-31,"Guatemala",15
2008-08-31,"Guinea",0
2008-08-31,"Guyana",12
2008-08-31,"Honduras",9
2008-08-31,"Hong Kong",1653
2008-08-31,"Hungary",648
2008-08-31,"Iceland",36
2008-08-31,"India",25065
2008-08-31,"Indonesia",2304
2008-08-31,"Iran",1029
2008-08-31,"Iraq",933
2008-08-31,"Ireland",3072
2008-08-31,"Israel",519
2008-08-31,"Italy",840
2008-08-31,"Ivory Coast",0
2008-08-31,"Jamaica",21
2008-08-31,"Japan",8037
2008-08-31,"Jordan",201
2008-08-31,"Kazakhstan",114
2008-08-31,"Kenya",228
2008-08-31,"Kiribati",831
2008-08-31,"Kosovo - Republic of",3
2008-08-31,"Kosovo - UN Mission in",6
2008-08-31,"Kuwait",9
2008-08-31,"Kyrgyzstan",27
2008-08-31,"Laos",81
2008-08-31,"Latvia",66
2008-08-31,"Lebanon",90
2008-08-31,"Lesotho",3
2008-08-31,"Liberia",6
2008-08-31,"Libya",15
2008-08-31,"Liechtenstein",3
2008-08-31,"Lithuania",69
2008-08-31,"Luxembourg",9
2008-08-31,"Macau",36
2008-08-31,"Macedonia",261
2008-08-31,"Madagascar",6
2008-08-31,"Malawi",45
2008-08-31,"Malaysia",7113
2008-08-31,"Maldives",99
2008-08-31,"Mali",0
2008-08-31,"Malta",45
2008-08-31,"Marshall Islands",6
2008-08-31,"Mauritania",9
2008-08-31,"Mauritius",249
2008-08-31,"Mexico",309
2008-08-31,"Moldova",30
2008-08-31,"Mongolia",45
2008-08-31,"Montenegro",0
2008-08-31,"Morocco",42
2008-08-31,"Mozambique",9
2008-08-31,"Myanmar",1005
2008-08-31,"Namibia",57
2008-08-31,"Nauru",33
2008-08-31,"Nepal",471
2008-08-31,"Netherlands",3294
